"","Table","Field","Display_Name","Field_Description","Data_Type"
"98","Fert.Out","F.Precision.Pracs","Fertilizer Information Practice",NA,"Character"
"99","Fert.Out","F.Int","Intercropping Only : Applied to specific crop or whole plot ?",NA,"Character"
"100","Fert.Out","F.NO","Total Organic Elemental N","Total elemental nitrogen applied  from organic sources (e.g., compost, manure, biosolid).","Numeric"
"101","Fert.Out","F.PO","Total Organic Elemental P","Total elemental phosphorus applied from organic sources (e.g., compost, manure, biosolid).","Numeric"
"102","Fert.Out","F.KO","Total Organic Elemental K","Total elemental potassium applied from organic sources (e.g., compost, manure, biosolid).","Numeric"
"103","Fert.Out","F.NI","Total Inorganic Elemental N","Total elemental nitrogen applied from inorganic sources (e.g., urea or DAP).","Numeric"
"104","Fert.Out","F.PI","Total Inorganic  Elemental P","Total elemental phosphorus applied from inorganic sources (e.g., rock phosphate or DAP).","Numeric"
"105","Fert.Out","F.P2O5","Total Organic  Elemental P2O5","Total phosphorus applied from inorganic sources presented as phosphorus pentoxide (P2O5) .","Numeric"
"106","Fert.Out","F.KI","Total Organic Elemental K","Total elemental potassium applied from inorganic sources (e.g., potassium chloride or monopotassium phosphate).","Numeric"
"107","Fert.Out","F.K2O","Total Organic Elemental K","Total potassium applied from inorganic sources presented as potassium oxide (K2O).","Numeric"
"108","Fert.Out","F.O.Unit","Organic NPK Unit of Measurement","The unit of measurement for total organic NPK numbers.","Character"
"109","Fert.Out","F.I.Unit","Inorganic NPK Unit of Measurement","The unit of measurement for total organic NPK numbers.","Character"
"110","Fert.Out","F.Notes","Notes",NA,"Character"
"111","Fert.Out","B.Code","NA","A unique code that identifies an extracted publication in the ERA dataset. This code is present in all the tables of era extraction data models.","Character"
"112","Fert.Method","F.Category","Type of Fertilizer","Category of fertilizer","Character"
"113","Fert.Method","F.Type","Specific Fertilizer","Name of the fertilizer","Character"
