Field.Name,Description,Source
T11,Codes corresponding to all practices used on the CSA treatment described in T.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
T12,Codes corresponding to all practices used on the CSA treatment described in T.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
ID,Study number,ERA (eragri::ERACompiledFields)
obs_count,Number of observations,ERA (eragri::ERACompiledFields)
out_count,Number of outcomes reported per study,ERA (eragri::ERACompiledFields)
yi,the natural log of the response ratio log(MeanT/MeanC),ERA (eragri::ERACompiledFields)
pc,pc=proportional change.It is a measure of the ratio of experimental to control outcomes,ERA (eragri::ERACompiledFields)
plist,"experimental ERA practices that are in the experimental, but not the control treatment",ERA (eragri::ERACompiledFields)
base.list,base practices that are shared between experimental and control treatments,ERA (eragri::ERACompiledFields)
EUlist,the product code OutcomeCodes$Code for the observation using a - delim for multiple products,ERA (eragri::ERACompiledFields)
Out.Pillar,Outcome pillar name,ERA (eragri::ERACompiledFields)
Out.SubPillar,Outcome subpillar name,ERA (eragri::ERACompiledFields)
Out.Ind,Outcome indicator name,ERA (eragri::ERACompiledFields)
Out.SubInd,Outcome subindicator name,ERA (eragri::ERACompiledFields)
SubPrName,Experimental subpractice name (note that this corresponds to the Subpractice.S field in the PracticeCodes),ERA (eragri::ERACompiledFields)
PrName,Experimental practice name,ERA (eragri::ERACompiledFields)
Theme,Experimental practice theme name,ERA (eragri::ERACompiledFields)
SubPrName.Base,Base practice name (note that this corresponds to the Subpractice.S field in the PracticeCodes),ERA (eragri::ERACompiledFields)
PrName.Base,Base practice name,ERA (eragri::ERACompiledFields)
Theme.Base,Base practice theme name,ERA (eragri::ERACompiledFields)
Product,"The full name of the product, including aspect of the component such as grain, meat or milk",ERA (eragri::ERACompiledFields)
Product.Type,Product type name,ERA (eragri::ERACompiledFields)
Product.Subtype,Product subtype name,ERA (eragri::ERACompiledFields)
Product.Simple,"Simplified product name, excluding any aspects of component",ERA (eragri::ERACompiledFields)
Latitude,Latitude of study location in degrees or decimal degrees,ERA (eragri::ERACompiledFields)
Longitude,Longitude of study location in degrees or decimal degrees,ERA (eragri::ERACompiledFields)
Buffer,Manual estimation (e.g. from measuring on google earth) in m of the spatial uncertainty for a point location. The site should within an X m radius (the buffer.manual amount) of the point location specified. Unit is meters,ERA (eragri::ERACompiledFields)
AEZ16,"AEZs for Africa South of the Sahara (SSA) based on the methodology developed by FAO and IIASA, using the scheme with 16 classes",ERA (eragri::ERACompiledFields)
AEZ16simple,Simplified version of AEZ16 removing the tropic/subtropic classification,ERA (eragri::ERACompiledFields)
AEZ5,"AEZs Africa South of the Sahara (SSA) based on the methodology developed by FAO and IIASA, using the scheme with 5 classes",ERA (eragri::ERACompiledFields)
Mean.Annual.Precip,Mean annual precipitation (mm) derived from the CHIRPS 2.0 dataset API at 0.05&deg resolution,ERA (eragri::ERACompiledFields)
Mean.Annual.Temp,Mean annual temperature (C) derived from the NASA POWER dataset API at 0.5&deg resolution,ERA (eragri::ERACompiledFields)
CLY,Weight percentage of clay particles (<0.0002 mm),ERA (eragri::ERACompiledFields)
SND,Weight percentage of the sand particles (0.05-2 mm),ERA (eragri::ERACompiledFields)
SLT,Weight percentage of silt particles (0.0002-0.05 mm),ERA (eragri::ERACompiledFields)
LTE.ID,Long-term-experiment identifier from the curated registry (one LTE can span several publications).,this repository
obs_id,Treatment-arm id: Site.Key | M.Year | Product.Simple | EU | TID | Upper | Lower. Identical across the pairs an arm appears in.,this repository
ctrl_id,Control-arm id: Site.Key | M.Year | Product.Simple | EU | CID | Upper | Lower.,this repository
yield_t_ha,MeanT converted to t/ha for crop-yield rows (see yield_basis); NA for other outcomes or unconvertible units.,this repository
yield_c_t_ha,MeanC converted to t/ha for crop-yield rows.,this repository
yield_basis,"'as reported' (fresh / standard moisture as published), 'dry matter', or 'per year' (annualised).",this repository
m_year_is_aggregate,TRUE when M.Year covers several years or seasons ('..' separator): the value is a multi-year mean.,this repository
m_year_first,First calendar year in M.Year.,this repository
m_year_last,Last calendar year in M.Year.,this repository
is_livestock,TRUE for animal-product rows (kept for completeness; not agronomy LTE data).,this repository
planting_date_source,"'reported' (from the publication), 'EcoCrop' (generic crop calendar, filled here) or 'none'.",this repository
harvest_date_source,"'reported', 'ERA climate window' (harvest end taken from the climate window) or 'none'.",this repository
climate_date_source,Which climate set matched: 'PDate' (reported planting window) or 'EcoCrop' (generic window); NA = no climate.,this repository
climate_window_start,Start of the window the climate statistics were computed over.,this repository
climate_window_end,End of that window.,this repository
era_release,ERA compiled release the row comes from.,this repository
era_provenance,ERA pipeline provenance string of that release.,this repository
arm_role,"lte_arms only: T, C, or C/T when the arm is control in some pairs and treatment in others.",this repository
arm_id,lte_arms only: obs_id or ctrl_id of the arm.,this repository
arm_code,lte_arms only: ERA treatment code (TID/CID).,this repository
arm_label,lte_arms only: treatment description (T.Descrip/C.Descrip).,this repository
mean,lte_arms only: reported mean of the arm.,this repository
mean_error,lte_arms only: reported dispersion of the mean.,this repository
n_pairs,lte_arms only: number of pairs in lte_final.csv that carry this identical arm measurement.,this repository
n_means,lte_arms only: number of distinct values this arm has for this outcome and year (1 = a single measurement).,this repository
pair_index,lte_arms only: Index of the first pair the measurement appears in.,this repository
gdd_gdd_subopt,Growing degree days in the window: suboptimal / optimal / above-optimal / above-maximum temperature ranges (crop-specific thresholds).,ERA geodata clim_stats_2025-08-14.1.RData
gdd_gdd_opt,Growing degree days in the window: suboptimal / optimal / above-optimal / above-maximum temperature ranges (crop-specific thresholds).,ERA geodata clim_stats_2025-08-14.1.RData
gdd_gdd_aboveopt,Growing degree days in the window: suboptimal / optimal / above-optimal / above-maximum temperature ranges (crop-specific thresholds).,ERA geodata clim_stats_2025-08-14.1.RData
gdd_gdd_abovemax,Growing degree days in the window: suboptimal / optimal / above-optimal / above-maximum temperature ranges (crop-specific thresholds).,ERA geodata clim_stats_2025-08-14.1.RData
gdd_Harvest.Start,Harvest date bounding the climate window (per climate table).,ERA geodata clim_stats_2025-08-14.1.RData
gdd_Harvest.End,Harvest date bounding the climate window (per climate table).,ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_tg_35.days,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_tg_35.days_pr,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_tg_35.max_rseq,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_tg_35.n_seq_d5,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_tg_35.n_seq_d10,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_tg_35.n_seq_d15,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_tg_37.5.days,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_tg_37.5.days_pr,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_tg_37.5.max_rseq,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_tg_37.5.n_seq_d5,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_tg_37.5.n_seq_d10,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_tg_37.5.n_seq_d15,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_tg_40.days,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_tg_40.days_pr,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_tg_40.max_rseq,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_tg_40.n_seq_d5,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_tg_40.n_seq_d10,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_tg_40.n_seq_d15,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmin_min,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmin_mean,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmin_var,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmin_sd,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmin_range,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_max,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_mean,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_var,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmax_sd,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
